age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,zip-code
ALL,Private,72880,Advanced Degree,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K,97201
ALL,Local-gov,209482,Advanced Degree,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,45,United-States,>50K,97201
ALL,Federal-gov,37683,Advanced Degree,15,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,99999,0,57,Canada,>50K,97201
ALL,Private,141118,Advanced Degree,14,Divorced,Prof-specialty,Own-child,White,Female,0,0,60,United-States,>50K,97201
ALL,Local-gov,175754,Advanced Degree,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,1876,60,United-States,<=50K,97201
ALL,State-gov,110426,Advanced Degree,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,7688,0,40,?,>50K,97201
ALL,Local-gov,213019,Advanced Degree,14,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K,97201
ALL,Local-gov,193425,Advanced Degree,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,4386,0,40,United-States,>50K,97201
ALL,Private,127865,Advanced Degree,14,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K,97201
ALL,Private,111829,Advanced Degree,14,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K,97201
ALL,Local-gov,233954,Advanced Degree,14,Widowed,Prof-specialty,Unmarried,Black,Female,0,0,40,United-States,>50K,97201
ALL,?,65545,Advanced Degree,14,Divorced,?,Own-child,White,Female,0,0,55,United-States,<=50K,97201
ALL,Private,178709,Advanced Degree,14,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K,97201
ALL,Private,150061,Advanced Degree,14,Divorced,Exec-managerial,Unmarried,Black,Female,15020,0,60,United-States,>50K,97201
ALL,State-gov,205555,Advanced Degree,15,Divorced,Prof-specialty,Own-child,Asian-Pac-Islander,Female,0,0,40,Philippines,<=50K,97201
ALL,Private,190385,Advanced Degree,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,>50K,97201
ALL,Self-emp-inc,382242,Advanced Degree,16,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,>50K,97201
ALL,Private,111499,Advanced Degree,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,>50K,97201
ALL,Local-gov,216070,Advanced Degree,14,Married-civ-spouse,Exec-managerial,Wife,Amer-Indian-Eskimo,Female,0,0,50,United-States,>50K,97201
ALL,Private,196791,Advanced Degree,15,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,>50K,97201
ALL,Private,180032,Advanced Degree,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,1669,40,United-States,<=50K,97201
ALL,Local-gov,144122,Advanced Degree,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,>50K,97201
ALL,Private,194231,Advanced Degree,14,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States,>50K,97201
ALL,?,113234,Advanced Degree,14,Married-civ-spouse,?,Wife,White,Female,0,0,40,United-States,<=50K,97201
ALL,Private,340723,Advanced Degree,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K,97201
ALL,Self-emp-not-inc,597843,Advanced Degree,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,Columbia,<=50K,97201
ALL,Private,151408,Advanced Degree,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K,97201
ALL,Private,98656,Advanced Degree,14,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K,97201
ALL,Private,46990,Advanced Degree,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1977,20,United-States,>50K,97201
ALL,Private,65738,Advanced Degree,14,Never-married,Other-service,Not-in-family,White,Female,0,0,32,United-States,<=50K,97201
ALL,Private,194243,Advanced Degree,15,Never-married,Prof-specialty,Own-child,White,Female,0,0,40,United-States,<=50K,97201
ALL,Private,175625,Advanced Degree,15,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K,97201
ALL,Local-gov,230912,Advanced Degree,14,Never-married,Prof-specialty,Not-in-family,White,Female,4865,0,40,United-States,<=50K,97201
ALL,Private,334679,Advanced Degree,14,Separated,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Female,0,0,42,India,<=50K,97201
ALL,Private,222504,Advanced Degree,15,Divorced,Prof-specialty,Unmarried,White,Female,0,0,38,United-States,<=50K,97201
ALL,Private,250630,Advanced Degree,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,30,United-States,<=50K,97201
ALL,Private,119751,Advanced Degree,14,Never-married,Prof-specialty,Other-relative,Asian-Pac-Islander,Female,0,0,40,Thailand,<=50K,97201
ALL,Private,22978,Advanced Degree,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,50,United-States,>50K,97201
ALL,Local-gov,190661,Advanced Degree,16,Never-married,Prof-specialty,Not-in-family,White,Female,7896,0,50,United-States,>50K,97201
ALL,Private,347025,Advanced Degree,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K,97201
ALL,Private,156300,Advanced Degree,14,Never-married,Exec-managerial,Not-in-family,Black,Female,0,0,45,United-States,<=50K,97201
ALL,Private,176796,Advanced Degree,16,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K,97201
ALL,Private,191451,Advanced Degree,14,Divorced,Exec-managerial,Unmarried,Black,Female,0,0,60,United-States,>50K,97201
ALL,Private,247469,Advanced Degree,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,30,United-States,>50K,97201
ALL,Private,158752,Advanced Degree,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,50,United-States,<=50K,97201
ALL,State-gov,44464,Advanced Degree,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,60,United-States,<=50K,97201
ALL,Local-gov,113443,Advanced Degree,14,Divorced,Prof-specialty,Not-in-family,White,Female,10520,0,33,United-States,>50K,97201
ALL,Local-gov,137250,Advanced Degree,14,Widowed,Prof-specialty,Unmarried,Black,Female,0,1669,35,United-States,<=50K,97201
ALL,Local-gov,343231,Advanced Degree,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,80,United-States,<=50K,97201
ALL,Self-emp-inc,181974,Advanced Degree,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,99,?,<=50K,97201
ALL,Private,199655,Advanced Degree,14,Divorced,Other-service,Not-in-family,Other,Female,0,0,30,United-States,<=50K,97201
ALL,Private,116632,Advanced Degree,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K,97201
ALL,Private,202051,Advanced Degree,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K,97201
ALL,Private,220531,Advanced Degree,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K,97201
ALL,Private,270092,Advanced Degree,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,97201
ALL,Private,188386,Advanced Degree,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,60,United-States,>50K,97201
ALL,Federal-gov,255191,Advanced Degree,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,1408,40,United-States,<=50K,97201
ALL,Private,90758,Advanced Degree,14,Never-married,Tech-support,Not-in-family,White,Male,0,0,35,United-States,>50K,97201
ALL,Private,89325,Advanced Degree,14,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,45,United-States,<=50K,97201
ALL,Local-gov,123075,Advanced Degree,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35,United-States,>50K,97201
ALL,Self-emp-inc,289430,Advanced Degree,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,Mexico,>50K,97201
ALL,Private,22245,Advanced Degree,14,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,72,?,>50K,97201
ALL,Private,279661,Advanced Degree,14,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,35,United-States,<=50K,97201
ALL,Private,175232,Advanced Degree,14,Divorced,Exec-managerial,Unmarried,White,Male,0,0,60,United-States,>50K,97201
ALL,?,231777,Advanced Degree,14,Married-civ-spouse,?,Husband,White,Male,0,0,30,United-States,<=50K,97201
ALL,Local-gov,159755,Advanced Degree,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,97201
ALL,Private,173806,Advanced Degree,14,Never-married,Prof-specialty,Not-in-family,White,Male,4865,0,60,United-States,<=50K,97201
ALL,Private,505119,Advanced Degree,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,Cuba,>50K,97201
ALL,Private,146659,Advanced Degree,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1887,35,United-States,>50K,97201
ALL,Private,142287,Advanced Degree,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,97201
ALL,Federal-gov,338320,Advanced Degree,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,50,United-States,>50K,97201
ALL,Self-emp-not-inc,164065,Advanced Degree,14,Divorced,Sales,Not-in-family,White,Male,0,0,18,United-States,<=50K,97201
ALL,Private,198282,Advanced Degree,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,40,United-States,>50K,97201
ALL,Local-gov,147328,Advanced Degree,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,60,United-States,>50K,97201
ALL,Self-emp-inc,349910,Advanced Degree,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,50,United-States,>50K,97201
ALL,Self-emp-not-inc,132686,Advanced Degree,15,Never-married,Prof-specialty,Own-child,White,Male,0,0,50,Italy,>50K,97201
ALL,Private,98941,Advanced Degree,14,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,>50K,97201
ALL,Private,295589,Advanced Degree,14,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,1977,40,United-States,>50K,97201
ALL,Private,242720,Advanced Degree,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35,United-States,>50K,97201
ALL,Local-gov,446358,Advanced Degree,16,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,Mexico,>50K,97201
ALL,Self-emp-not-inc,223881,Advanced Degree,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,70,United-States,>50K,97201
ALL,Private,457237,Advanced Degree,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K,97201
ALL,Private,572751,Advanced Degree,15,Married-civ-spouse,Craft-repair,Husband,White,Male,5178,0,40,Mexico,>50K,97201
ALL,State-gov,183710,Advanced Degree,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,97201
ALL,Private,192869,Advanced Degree,14,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1977,44,United-States,>50K,97201
ALL,Local-gov,134813,Advanced Degree,14,Never-married,Prof-specialty,Own-child,White,Male,0,0,52,United-States,<=50K,97201
ALL,Private,144064,Advanced Degree,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,>50K,97201
ALL,Private,114758,Advanced Degree,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,65,United-States,>50K,97201
ALL,State-gov,149650,Advanced Degree,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Iran,>50K,97201
ALL,Local-gov,52267,Advanced Degree,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,97201
ALL,Private,50164,Advanced Degree,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K,97201
ALL,Private,473133,Advanced Degree,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,97201
ALL,Private,190139,Advanced Degree,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,97201
ALL,Private,116632,Advanced Degree,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,97201
ALL,Federal-gov,74680,Advanced Degree,14,Divorced,Adm-clerical,Not-in-family,White,Male,0,2001,60,United-States,<=50K,97201
ALL,Self-emp-inc,159028,Advanced Degree,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,60,United-States,>50K,97201
ALL,Private,146574,Advanced Degree,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,97201
ALL,Private,112271,Advanced Degree,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K,97201
ALL,Self-emp-not-inc,109766,Advanced Degree,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,50,United-States,>50K,97201
ALL,Self-emp-not-inc,164526,Advanced Degree,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,2824,45,United-States,>50K,97201
ALL,Private,216856,Advanced Degree,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K,97201
ALL,Self-emp-inc,165667,Advanced Degree,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,60,Canada,>50K,97201
ALL,Local-gov,236586,Advanced Degree,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,55,United-States,>50K,97201
ALL,Private,120707,Advanced Degree,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,20051,0,35,El-Salvador,>50K,97201
ALL,Private,146520,Advanced Degree,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,97201
ALL,Private,171355,Advanced Degree,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,97201
ALL,Local-gov,145166,Advanced Degree,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7298,0,40,United-States,>50K,97201
ALL,Self-emp-inc,155664,Advanced Degree,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K,97201
ALL,State-gov,158834,Advanced Degree,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,97201
ALL,Private,337286,Advanced Degree,14,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K,97201
ALL,?,143716,Advanced Degree,14,Married-civ-spouse,?,Husband,White,Male,0,0,2,United-States,<=50K,97201
ALL,State-gov,75755,Advanced Degree,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,55,United-States,>50K,97201
ALL,Private,125461,Advanced Degree,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,35,United-States,>50K,97201
ALL,Private,167140,Advanced Degree,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,70,United-States,>50K,97201
ALL,Private,175856,Advanced Degree,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,38,United-States,<=50K,97201
ALL,Self-emp-not-inc,106538,Advanced Degree,14,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,<=50K,97201
ALL,Private,312271,Advanced Degree,14,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,65,United-States,<=50K,97201
ALL,Self-emp-not-inc,326400,Advanced Degree,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K,97201
ALL,State-gov,70617,Advanced Degree,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,10,China,<=50K,97201
ALL,Private,87372,Advanced Degree,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,20051,0,72,United-States,>50K,97201
ALL,Private,35166,Advanced Degree,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,50,United-States,>50K,97201
ALL,Private,101593,Advanced Degree,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,97201
ALL,Private,259307,Advanced Degree,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,97201
ALL,Private,308691,Advanced Degree,14,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,48,United-States,<=50K,97201
ALL,Private,186845,Advanced Degree,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K,97201
ALL,State-gov,54260,Advanced Degree,16,Married-civ-spouse,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,2885,0,40,China,<=50K,97201
ALL,Federal-gov,101996,Advanced Degree,14,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,>50K,97201
ALL,Private,237943,Advanced Degree,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50,United-States,>50K,97201
ALL,Private,355865,Advanced Degree,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,97201
ALL,Private,192337,Advanced Degree,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,England,>50K,97201
ALL,Private,98283,Advanced Degree,15,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,40,India,>50K,97201
ALL,Private,188246,Advanced Degree,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K,97201
ALL,?,146645,Advanced Degree,16,Married-civ-spouse,?,Husband,White,Male,20051,0,50,United-States,>50K,97201
ALL,Local-gov,215862,Advanced Degree,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,45,United-States,>50K,97201
ALL,Private,189623,Advanced Degree,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K,97201
ALL,Private,349169,Advanced Degree,14,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Mexico,<=50K,97201
ALL,?,487411,Advanced Degree,14,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,>50K,97201
ALL,Private,372525,Advanced Degree,14,Divorced,Prof-specialty,Unmarried,White,Male,0,0,48,United-States,<=50K,97201
ALL,Private,98283,Advanced Degree,15,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Male,0,1564,40,India,>50K,97201
ALL,?,142370,Advanced Degree,15,Married-civ-spouse,?,Husband,White,Male,0,0,10,United-States,<=50K,97201
ALL,Private,151584,Advanced Degree,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,60,United-States,>50K,97201
ALL,Private,280167,Advanced Degree,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,97201
ALL,Local-gov,167334,Advanced Degree,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,>50K,97201
ALL,Private,257758,Advanced Degree,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,97201
ALL,Private,78261,Advanced Degree,15,Never-married,Prof-specialty,Own-child,White,Male,0,0,50,United-States,<=50K,97201
ALL,State-gov,106334,Advanced Degree,14,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,?,<=50K,97201
ALL,Private,81654,Advanced Degree,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K,97201
ALL,Private,88055,Advanced Degree,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,3781,0,16,United-States,<=50K,97201
ALL,Private,211450,Advanced Degree,14,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States,>50K,97201
ALL,Local-gov,204447,Advanced Degree,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,43,United-States,>50K,97201
ALL,State-gov,54887,Advanced Degree,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,97201
ALL,State-gov,190305,Advanced Degree,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K,97201
ALL,Private,340917,Advanced Degree,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,60,United-States,>50K,97201
ALL,Private,203554,Advanced Degree,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K,97201
ALL,Self-emp-not-inc,223763,Advanced Degree,14,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,65,United-States,<=50K,97201
ALL,Self-emp-not-inc,123011,Advanced Degree,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K,97201
ALL,Private,74024,Advanced Degree,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K,97201
ALL,Self-emp-not-inc,350247,Advanced Degree,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K,97201
ALL,Federal-gov,280167,Advanced Degree,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,97201
ALL,Federal-gov,88876,Advanced Degree,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,60,United-States,>50K,97201
ALL,?,247986,Advanced Degree,15,Married-civ-spouse,?,Husband,White,Male,0,0,30,United-States,>50K,97201
ALL,State-gov,231961,Advanced Degree,16,Divorced,Prof-specialty,Unmarried,White,Male,0,0,50,United-States,>50K,97201
ALL,Private,150999,Advanced Degree,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,40,United-States,>50K,97201
ALL,Self-emp-inc,222615,Advanced Degree,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K,97201
ALL,Private,267717,Advanced Degree,14,Married-civ-spouse,Craft-repair,Husband,White,Male,15024,0,45,United-States,>50K,97201
ALL,Private,173590,Advanced Degree,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,97201
ALL,Private,152810,Advanced Degree,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,55,United-States,>50K,97201
ALL,Federal-gov,52781,Advanced Degree,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,40,United-States,>50K,97201
ALL,Private,184456,Advanced Degree,15,Never-married,Exec-managerial,Not-in-family,White,Male,27828,0,50,United-States,>50K,97201
ALL,Private,87556,Advanced Degree,14,Never-married,Prof-specialty,Not-in-family,White,Male,6849,0,40,United-States,<=50K,97201
ALL,Private,98361,Advanced Degree,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,?,>50K,97201
ALL,State-gov,345969,Advanced Degree,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K,97201
ALL,Private,119281,Advanced Degree,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K,97201
